date,sku_id,warehouse_id,supplier_id,region,units_sold,inventory_level,supplier_lead_time_days,reorder_point,order_quantity,unit_cost,unit_price,promotion_flag,stockout_flag,demand_forecast,total_revenue,total_cost,profit,profit_margin,below_reorder_flag,lost_sales_units,lost_revenue,forecast_error,abs_forecast_error
2024-01-13,SKU_1,WH_1,SUP_8,North,25,778,14,379,0,13.95,20.48,0,0,25.08,512.0,348.75,163.25,0.31884765625,0,0.0,0.0,-0.0799999999999983,0.0799999999999983
2024-01-14,SKU_1,WH_1,SUP_8,South,26,752,14,379,0,13.95,20.48,0,0,24.39,532.48,362.7,169.78000000000003,0.31884765625000006,0,0.0,0.0,1.6099999999999994,1.6099999999999994
2024-01-15,SKU_1,WH_1,SUP_8,North,19,733,14,379,0,13.95,20.48,1,0,21.16,389.12,265.05,124.07,0.31884765625,0,0.0,0.0,-2.16,2.16
2024-01-16,SKU_1,WH_1,SUP_8,West,19,714,14,379,0,13.95,20.48,0,0,20.84,389.12,265.05,124.07,0.31884765625,0,0.0,0.0,-1.8399999999999999,1.8399999999999999
2024-01-17,SKU_1,WH_1,SUP_8,East,26,688,14,379,0,13.95,20.48,0,0,23.28,532.48,362.7,169.78000000000003,0.31884765625000006,0,0.0,0.0,2.719999999999999,2.719999999999999
2024-01-18,SKU_1,WH_1,SUP_8,North,22,666,14,379,0,13.95,20.48,0,0,20.13,450.56,306.9,143.66000000000003,0.31884765625000006,0,0.0,0.0,1.870000000000001,1.870000000000001
2024-01-19,SKU_1,WH_1,SUP_8,North,28,638,14,379,0,13.95,20.48,1,0,31.49,573.44,390.59999999999997,182.8400000000001,0.3188476562500001,0,0.0,0.0,-3.4899999999999984,3.4899999999999984
2024-01-20,SKU_1,WH_1,SUP_8,East,17,621,14,379,0,13.95,20.48,0,0,13.41,348.16,237.14999999999998,111.01000000000005,0.3188476562500001,0,0.0,0.0,3.59,3.59
2024-01-21,SKU_1,WH_1,SUP_8,East,25,596,14,379,0,13.95,20.48,0,0,19.95,512.0,348.75,163.25,0.31884765625,0,0.0,0.0,5.050000000000001,5.050000000000001
2024-01-22,SKU_1,WH_1,SUP_8,South,28,568,14,379,0,13.95,20.48,0,0,30.39,573.44,390.59999999999997,182.8400000000001,0.3188476562500001,0,0.0,0.0,-2.3900000000000006,2.3900000000000006
2024-01-23,SKU_1,WH_1,SUP_8,West,20,548,14,379,0,13.95,20.48,0,0,21.0,409.6,279.0,130.60000000000002,0.31884765625000006,0,0.0,0.0,-1.0,1.0
2024-01-24,SKU_1,WH_1,SUP_8,West,24,524,14,379,0,13.95,20.48,0,0,23.1,491.52,334.79999999999995,156.72000000000003,0.31884765625000006,0,0.0,0.0,0.8999999999999986,0.8999999999999986
2024-01-25,SKU_1,WH_1,SUP_8,East,20,504,14,379,0,13.95,20.48,0,0,21.27,409.6,279.0,130.60000000000002,0.31884765625000006,0,0.0,0.0,-1.2699999999999996,1.2699999999999996
2024-01-26,SKU_1,WH_1,SUP_8,West,20,484,14,379,0,13.95,20.48,0,0,22.23,409.6,279.0,130.60000000000002,0.31884765625000006,0,0.0,0.0,-2.2300000000000004,2.2300000000000004
2024-01-27,SKU_1,WH_1,SUP_8,South,28,456,14,379,0,13.95,20.48,0,0,29.08,573.44,390.59999999999997,182.8400000000001,0.3188476562500001,0,0.0,0.0,-1.0799999999999983,1.0799999999999983
2024-01-28,SKU_1,WH_1,SUP_8,West,29,427,14,379,0,13.95,20.48,0,0,29.99,593.92,404.54999999999995,189.37,0.31884765625000006,0,0.0,0.0,-0.9899999999999984,0.9899999999999984
2024-01-29,SKU_1,WH_1,SUP_8,West,29,398,14,379,0,13.95,20.48,0,0,28.37,593.92,404.54999999999995,189.37,0.31884765625000006,0,0.0,0.0,0.629999999999999,0.629999999999999
2024-01-30,SKU_1,WH_1,SUP_8,North,23,375,14,379,0,13.95,20.48,0,0,25.02,471.04,320.84999999999997,150.19000000000005,0.3188476562500001,1,0.0,0.0,-2.0199999999999996,2.0199999999999996
2024-01-31,SKU_1,WH_1,SUP_8,West,18,754,14,379,397,13.95,20.48,0,0,14.94,368.64,251.1,117.53999999999999,0.31884765625,0,0.0,0.0,3.0600000000000005,3.0600000000000005
2024-02-01,SKU_1,WH_1,SUP_8,South,34,720,14,379,0,13.95,20.48,0,0,33.54,696.32,474.29999999999995,222.0200000000001,0.3188476562500001,0,0.0,0.0,0.46000000000000085,0.46000000000000085
2024-02-02,SKU_1,WH_1,SUP_8,West,24,696,14,379,0,13.95,20.48,0,0,25.21,491.52,334.79999999999995,156.72000000000003,0.31884765625000006,0,0.0,0.0,-1.2100000000000009,1.2100000000000009
2024-02-03,SKU_1,WH_1,SUP_8,South,22,674,14,379,0,13.95,20.48,0,0,21.56,450.56,306.9,143.66000000000003,0.31884765625000006,0,0.0,0.0,0.4400000000000013,0.4400000000000013
2024-02-04,SKU_1,WH_1,SUP_8,North,32,642,14,379,0,13.95,20.48,1,0,26.98,655.36,446.4,208.96000000000004,0.31884765625000006,0,0.0,0.0,5.02,5.02
2024-02-05,SKU_1,WH_1,SUP_8,East,25,617,14,379,0,13.95,20.48,0,0,26.03,512.0,348.75,163.25,0.31884765625,0,0.0,0.0,-1.0300000000000011,1.0300000000000011
2024-02-06,SKU_1,WH_1,SUP_8,South,24,593,14,379,0,13.95,20.48,0,0,24.9,491.52,334.79999999999995,156.72000000000003,0.31884765625000006,0,0.0,0.0,-0.8999999999999986,0.8999999999999986
2024-02-07,SKU_1,WH_1,SUP_8,East,35,558,14,379,0,13.95,20.48,0,0,29.18,716.8000000000001,488.25,228.55000000000007,0.31884765625000006,0,0.0,0.0,5.82,5.82
2024-02-08,SKU_1,WH_1,SUP_8,East,22,536,14,379,0,13.95,20.48,0,0,24.32,450.56,306.9,143.66000000000003,0.31884765625000006,0,0.0,0.0,-2.3200000000000003,2.3200000000000003
2024-02-09,SKU_1,WH_1,SUP_8,South,28,508,14,379,0,13.95,20.48,0,0,27.93,573.44,390.59999999999997,182.8400000000001,0.3188476562500001,0,0.0,0.0,0.07000000000000028,0.07000000000000028
2024-02-10,SKU_1,WH_1,SUP_8,North,21,487,14,379,0,13.95,20.48,0,0,19.3,430.08,292.95,137.13,0.31884765625,0,0.0,0.0,1.6999999999999993,1.6999999999999993
2024-02-11,SKU_1,WH_1,SUP_8,South,21,466,14,379,0,13.95,20.48,0,0,18.95,430.08,292.95,137.13,0.31884765625,0,0.0,0.0,2.0500000000000007,2.0500000000000007
2024-02-12,SKU_1,WH_1,SUP_8,West,29,437,14,379,0,13.95,20.48,0,0,25.33,593.92,404.54999999999995,189.37,0.31884765625000006,0,0.0,0.0,3.6700000000000017,3.6700000000000017
2024-02-13,SKU_1,WH_1,SUP_8,West,37,400,14,379,0,13.95,20.48,1,0,29.59,757.76,516.15,241.61,0.31884765625,0,0.0,0.0,7.41,7.41
2024-02-14,SKU_1,WH_1,SUP_8,East,23,377,14,379,0,13.95,20.48,0,0,22.03,471.04,320.84999999999997,150.19000000000005,0.3188476562500001,1,0.0,0.0,0.9699999999999989,0.9699999999999989
2024-02-15,SKU_1,WH_1,SUP_8,South,21,699,14,379,343,13.95,20.48,0,0,23.22,430.08,292.95,137.13,0.31884765625,0,0.0,0.0,-2.219999999999999,2.219999999999999
2024-02-16,SKU_1,WH_1,SUP_8,North,23,676,14,379,0,13.95,20.48,1,0,23.36,471.04,320.84999999999997,150.19000000000005,0.3188476562500001,0,0.0,0.0,-0.35999999999999943,0.35999999999999943
2024-02-17,SKU_1,WH_1,SUP_8,East,20,656,14,379,0,13.95,20.48,0,0,23.57,409.6,279.0,130.60000000000002,0.31884765625000006,0,0.0,0.0,-3.5700000000000003,3.5700000000000003
2024-02-18,SKU_1,WH_1,SUP_8,South,28,628,14,379,0,13.95,20.48,0,0,28.32,573.44,390.59999999999997,182.8400000000001,0.3188476562500001,0,0.0,0.0,-0.3200000000000003,0.3200000000000003
2024-02-19,SKU_1,WH_1,SUP_8,West,24,604,14,379,0,13.95,20.48,0,0,24.7,491.52,334.79999999999995,156.72000000000003,0.31884765625000006,0,0.0,0.0,-0.6999999999999993,0.6999999999999993
2024-02-20,SKU_1,WH_1,SUP_8,West,31,573,14,379,0,13.95,20.48,0,0,36.37,634.88,432.45,202.43,0.31884765625,0,0.0,0.0,-5.369999999999997,5.369999999999997
2024-02-21,SKU_1,WH_1,SUP_8,South,28,545,14,379,0,13.95,20.48,0,0,24.35,573.44,390.59999999999997,182.8400000000001,0.3188476562500001,0,0.0,0.0,3.6499999999999986,3.6499999999999986
2024-02-22,SKU_1,WH_1,SUP_8,West,27,518,14,379,0,13.95,20.48,0,0,25.85,552.96,376.65,176.31000000000006,0.3188476562500001,0,0.0,0.0,1.1499999999999986,1.1499999999999986
2024-02-23,SKU_1,WH_1,SUP_8,North,32,486,14,379,0,13.95,20.48,0,0,33.24,655.36,446.4,208.96000000000004,0.31884765625000006,0,0.0,0.0,-1.240000000000002,1.240000000000002
2024-02-24,SKU_1,WH_1,SUP_8,South,31,455,14,379,0,13.95,20.48,0,0,40.18,634.88,432.45,202.43,0.31884765625,0,0.0,0.0,-9.18,9.18
2024-02-25,SKU_1,WH_1,SUP_8,East,32,423,14,379,0,13.95,20.48,0,0,31.28,655.36,446.4,208.96000000000004,0.31884765625000006,0,0.0,0.0,0.7199999999999989,0.7199999999999989
2024-02-26,SKU_1,WH_1,SUP_8,East,34,389,14,379,0,13.95,20.48,0,0,29.97,696.32,474.29999999999995,222.0200000000001,0.3188476562500001,0,0.0,0.0,4.030000000000001,4.030000000000001
2024-02-27,SKU_1,WH_1,SUP_8,East,31,358,14,379,0,13.95,20.48,0,0,28.43,634.88,432.45,202.43,0.31884765625,1,0.0,0.0,2.5700000000000003,2.5700000000000003
2024-02-28,SKU_1,WH_1,SUP_8,North,28,575,14,379,245,13.95,20.48,0,0,28.57,573.44,390.59999999999997,182.8400000000001,0.3188476562500001,0,0.0,0.0,-0.5700000000000003,0.5700000000000003
2024-02-29,SKU_1,WH_1,SUP_8,East,31,544,14,379,0,13.95,20.48,0,0,25.17,634.88,432.45,202.43,0.31884765625,0,0.0,0.0,5.829999999999998,5.829999999999998
2024-03-01,SKU_1,WH_1,SUP_8,North,33,511,14,379,0,13.95,20.48,1,0,35.33,675.84,460.34999999999997,215.49000000000007,0.31884765625000006,0,0.0,0.0,-2.3299999999999983,2.3299999999999983
2024-03-02,SKU_1,WH_1,SUP_8,South,28,483,14,379,0,13.95,20.48,0,0,22.75,573.44,390.59999999999997,182.8400000000001,0.3188476562500001,0,0.0,0.0,5.25,5.25
2024-03-03,SKU_1,WH_1,SUP_8,West,29,454,14,379,0,13.95,20.48,0,0,30.16,593.92,404.54999999999995,189.37,0.31884765625000006,0,0.0,0.0,-1.1600000000000001,1.1600000000000001
2024-03-04,SKU_1,WH_1,SUP_8,East,32,422,14,379,0,13.95,20.48,0,0,28.76,655.36,446.4,208.96000000000004,0.31884765625000006,0,0.0,0.0,3.2399999999999984,3.2399999999999984
2024-03-05,SKU_1,WH_1,SUP_8,North,34,388,14,379,0,13.95,20.48,0,0,34.15,696.32,474.29999999999995,222.0200000000001,0.3188476562500001,0,0.0,0.0,-0.14999999999999858,0.14999999999999858
2024-03-06,SKU_1,WH_1,SUP_8,East,31,357,14,379,0,13.95,20.48,0,0,28.82,634.88,432.45,202.43,0.31884765625,1,0.0,0.0,2.1799999999999997,2.1799999999999997
2024-03-07,SKU_1,WH_1,SUP_8,West,31,538,14,379,212,13.95,20.48,0,0,32.54,634.88,432.45,202.43,0.31884765625,0,0.0,0.0,-1.5399999999999991,1.5399999999999991
2024-03-08,SKU_1,WH_1,SUP_8,North,36,502,14,379,0,13.95,20.48,0,0,36.02,737.28,502.2,235.07999999999998,0.31884765625,0,0.0,0.0,-0.020000000000003126,0.020000000000003126
2024-03-09,SKU_1,WH_1,SUP_8,East,26,476,14,379,0,13.95,20.48,0,0,25.62,532.48,362.7,169.78000000000003,0.31884765625000006,0,0.0,0.0,0.379999999999999,0.379999999999999
2024-03-10,SKU_1,WH_1,SUP_8,East,25,451,14,379,0,13.95,20.48,0,0,24.29,512.0,348.75,163.25,0.31884765625,0,0.0,0.0,0.7100000000000009,0.7100000000000009
2024-03-11,SKU_1,WH_1,SUP_8,South,24,427,14,379,0,13.95,20.48,0,0,22.63,491.52,334.79999999999995,156.72000000000003,0.31884765625000006,0,0.0,0.0,1.370000000000001,1.370000000000001
2024-03-12,SKU_1,WH_1,SUP_8,West,27,400,14,379,0,13.95,20.48,0,0,27.24,552.96,376.65,176.31000000000006,0.3188476562500001,0,0.0,0.0,-0.23999999999999844,0.23999999999999844
2024-03-13,SKU_1,WH_1,SUP_8,North,31,369,14,379,0,13.95,20.48,0,0,25.36,634.88,432.45,202.43,0.31884765625,1,0.0,0.0,5.640000000000001,5.640000000000001
2024-03-14,SKU_1,WH_1,SUP_8,East,25,548,14,379,204,13.95,20.48,0,0,27.04,512.0,348.75,163.25,0.31884765625,0,0.0,0.0,-2.039999999999999,2.039999999999999
2024-03-15,SKU_1,WH_1,SUP_8,East,29,519,14,379,0,13.95,20.48,0,0,27.05,593.92,404.54999999999995,189.37,0.31884765625000006,0,0.0,0.0,1.9499999999999993,1.9499999999999993
2024-03-16,SKU_1,WH_1,SUP_8,East,29,490,14,379,0,13.95,20.48,0,0,27.54,593.92,404.54999999999995,189.37,0.31884765625000006,0,0.0,0.0,1.4600000000000009,1.4600000000000009
2024-03-17,SKU_1,WH_1,SUP_8,South,25,465,14,379,0,13.95,20.48,0,0,29.98,512.0,348.75,163.25,0.31884765625,0,0.0,0.0,-4.98,4.98
2024-03-18,SKU_1,WH_1,SUP_8,South,27,438,14,379,0,13.95,20.48,1,0,25.97,552.96,376.65,176.31000000000006,0.3188476562500001,0,0.0,0.0,1.0300000000000011,1.0300000000000011
2024-03-19,SKU_1,WH_1,SUP_8,West,23,415,14,379,0,13.95,20.48,0,0,25.75,471.04,320.84999999999997,150.19000000000005,0.3188476562500001,0,0.0,0.0,-2.75,2.75
2024-03-20,SKU_1,WH_1,SUP_8,North,25,390,14,379,0,13.95,20.48,0,0,30.77,512.0,348.75,163.25,0.31884765625,0,0.0,0.0,-5.77,5.77
2024-03-21,SKU_1,WH_1,SUP_8,North,26,364,14,379,0,13.95,20.48,0,0,22.16,532.48,362.7,169.78000000000003,0.31884765625000006,1,0.0,0.0,3.84,3.84
2024-03-22,SKU_1,WH_1,SUP_8,North,26,584,14,379,246,13.95,20.48,0,0,25.21,532.48,362.7,169.78000000000003,0.31884765625000006,0,0.0,0.0,0.7899999999999991,0.7899999999999991
2024-03-23,SKU_1,WH_1,SUP_8,South,27,557,14,379,0,13.95,20.48,0,0,30.29,552.96,376.65,176.31000000000006,0.3188476562500001,0,0.0,0.0,-3.289999999999999,3.289999999999999
2024-03-24,SKU_1,WH_1,SUP_8,North,38,519,14,379,0,13.95,20.48,0,0,33.71,778.24,530.1,248.14,0.31884765625,0,0.0,0.0,4.289999999999999,4.289999999999999
2024-03-25,SKU_1,WH_1,SUP_8,West,29,490,14,379,0,13.95,20.48,0,0,31.27,593.92,404.54999999999995,189.37,0.31884765625000006,0,0.0,0.0,-2.2699999999999996,2.2699999999999996
2024-03-26,SKU_1,WH_1,SUP_8,West,28,462,14,379,0,13.95,20.48,0,0,28.18,573.44,390.59999999999997,182.8400000000001,0.3188476562500001,0,0.0,0.0,-0.17999999999999972,0.17999999999999972
2024-03-27,SKU_1,WH_1,SUP_8,East,33,429,14,379,0,13.95,20.48,0,0,36.1,675.84,460.34999999999997,215.49000000000007,0.31884765625000006,0,0.0,0.0,-3.1000000000000014,3.1000000000000014
2024-03-28,SKU_1,WH_1,SUP_8,North,40,389,14,379,0,13.95,20.48,0,0,34.14,819.2,558.0,261.20000000000005,0.31884765625000006,0,0.0,0.0,5.859999999999999,5.859999999999999
2024-03-29,SKU_1,WH_1,SUP_8,East,32,357,14,379,0,13.95,20.48,0,0,35.18,655.36,446.4,208.96000000000004,0.31884765625000006,1,0.0,0.0,-3.1799999999999997,3.1799999999999997
2024-03-30,SKU_1,WH_1,SUP_8,North,27,793,14,379,463,13.95,20.48,0,0,27.62,552.96,376.65,176.31000000000006,0.3188476562500001,0,0.0,0.0,-0.620000000000001,0.620000000000001
2024-03-31,SKU_1,WH_1,SUP_8,North,26,767,14,379,0,13.95,20.48,0,0,24.93,532.48,362.7,169.78000000000003,0.31884765625000006,0,0.0,0.0,1.0700000000000003,1.0700000000000003
2024-04-01,SKU_1,WH_1,SUP_8,West,32,735,14,379,0,13.95,20.48,0,0,31.76,655.36,446.4,208.96000000000004,0.31884765625000006,0,0.0,0.0,0.23999999999999844,0.23999999999999844
2024-04-02,SKU_1,WH_1,SUP_8,North,33,702,14,379,0,13.95,20.48,0,0,34.83,675.84,460.34999999999997,215.49000000000007,0.31884765625000006,0,0.0,0.0,-1.8299999999999983,1.8299999999999983
2024-04-03,SKU_1,WH_1,SUP_8,West,28,674,14,379,0,13.95,20.48,0,0,26.36,573.44,390.59999999999997,182.8400000000001,0.3188476562500001,0,0.0,0.0,1.6400000000000006,1.6400000000000006
2024-04-04,SKU_1,WH_1,SUP_8,North,37,637,14,379,0,13.95,20.48,0,0,35.68,757.76,516.15,241.61,0.31884765625,0,0.0,0.0,1.3200000000000003,1.3200000000000003
2024-04-05,SKU_1,WH_1,SUP_8,West,33,604,14,379,0,13.95,20.48,0,0,26.24,675.84,460.34999999999997,215.49000000000007,0.31884765625000006,0,0.0,0.0,6.760000000000002,6.760000000000002
2024-04-06,SKU_1,WH_1,SUP_8,North,33,571,14,379,0,13.95,20.48,0,0,32.07,675.84,460.34999999999997,215.49000000000007,0.31884765625000006,0,0.0,0.0,0.9299999999999997,0.9299999999999997
2024-04-07,SKU_1,WH_1,SUP_8,East,31,540,14,379,0,13.95,20.48,0,0,30.63,634.88,432.45,202.43,0.31884765625,0,0.0,0.0,0.370000000000001,0.370000000000001
2024-04-08,SKU_1,WH_1,SUP_8,North,50,490,14,379,0,13.95,20.48,1,0,53.2,1024.0,697.5,326.5,0.31884765625,0,0.0,0.0,-3.200000000000003,3.200000000000003
2024-04-09,SKU_1,WH_1,SUP_8,North,35,455,14,379,0,13.95,20.48,0,0,41.43,716.8000000000001,488.25,228.55000000000007,0.31884765625000006,0,0.0,0.0,-6.43,6.43
2024-04-10,SKU_1,WH_1,SUP_8,North,32,423,14,379,0,13.95,20.48,0,0,33.89,655.36,446.4,208.96000000000004,0.31884765625000006,0,0.0,0.0,-1.8900000000000006,1.8900000000000006
2024-04-11,SKU_1,WH_1,SUP_8,East,49,374,14,379,0,13.95,20.48,1,0,50.21,1003.52,683.55,319.97,0.31884765625000006,1,0.0,0.0,-1.2100000000000009,1.2100000000000009
2024-04-12,SKU_1,WH_1,SUP_8,South,32,794,14,379,452,13.95,20.48,0,0,36.07,655.36,446.4,208.96000000000004,0.31884765625000006,0,0.0,0.0,-4.07,4.07
2024-04-13,SKU_1,WH_1,SUP_8,South,27,767,14,379,0,13.95,20.48,0,0,27.61,552.96,376.65,176.31000000000006,0.3188476562500001,0,0.0,0.0,-0.6099999999999994,0.6099999999999994
2024-04-14,SKU_1,WH_1,SUP_8,South,29,738,14,379,0,13.95,20.48,0,0,25.47,593.92,404.54999999999995,189.37,0.31884765625000006,0,0.0,0.0,3.530000000000001,3.530000000000001
2024-04-15,SKU_1,WH_1,SUP_8,West,28,710,14,379,0,13.95,20.48,1,0,23.78,573.44,390.59999999999997,182.8400000000001,0.3188476562500001,0,0.0,0.0,4.219999999999999,4.219999999999999
2024-04-16,SKU_1,WH_1,SUP_8,West,30,680,14,379,0,13.95,20.48,0,0,32.48,614.4,418.5,195.89999999999998,0.31884765625,0,0.0,0.0,-2.479999999999997,2.479999999999997
2024-04-17,SKU_1,WH_1,SUP_8,South,19,661,14,379,0,13.95,20.48,0,0,23.71,389.12,265.05,124.07,0.31884765625,0,0.0,0.0,-4.710000000000001,4.710000000000001
2024-04-18,SKU_1,WH_1,SUP_8,South,21,640,14,379,0,13.95,20.48,0,0,19.73,430.08,292.95,137.13,0.31884765625,0,0.0,0.0,1.2699999999999996,1.2699999999999996
2024-04-19,SKU_1,WH_1,SUP_8,North,31,609,14,379,0,13.95,20.48,0,0,28.52,634.88,432.45,202.43,0.31884765625,0,0.0,0.0,2.4800000000000004,2.4800000000000004
2024-04-20,SKU_1,WH_1,SUP_8,West,26,583,14,379,0,13.95,20.48,0,0,21.74,532.48,362.7,169.78000000000003,0.31884765625000006,0,0.0,0.0,4.260000000000002,4.260000000000002
2024-04-21,SKU_1,WH_1,SUP_8,South,27,556,14,379,0,13.95,20.48,0,0,28.37,552.96,376.65,176.31000000000006,0.3188476562500001,0,0.0,0.0,-1.370000000000001,1.370000000000001
2024-04-22,SKU_1,WH_1,SUP_8,East,29,527,14,379,0,13.95,20.48,0,0,30.17,593.92,404.54999999999995,189.37,0.31884765625000006,0,0.0,0.0,-1.1700000000000017,1.1700000000000017
2024-04-23,SKU_1,WH_1,SUP_8,North,30,497,14,379,0,13.95,20.48,0,0,30.04,614.4,418.5,195.89999999999998,0.31884765625,0,0.0,0.0,-0.03999999999999915,0.03999999999999915
2024-04-24,SKU_1,WH_1,SUP_8,East,26,471,14,379,0,13.95,20.48,0,0,26.65,532.48,362.7,169.78000000000003,0.31884765625000006,0,0.0,0.0,-0.6499999999999986,0.6499999999999986
2024-04-25,SKU_1,WH_1,SUP_8,North,26,445,14,379,0,13.95,20.48,0,0,31.58,532.48,362.7,169.78000000000003,0.31884765625000006,0,0.0,0.0,-5.579999999999998,5.579999999999998
2024-04-26,SKU_1,WH_1,SUP_8,East,36,409,14,379,0,13.95,20.48,0,0,33.89,737.28,502.2,235.07999999999998,0.31884765625,0,0.0,0.0,2.1099999999999994,2.1099999999999994
2024-04-27,SKU_1,WH_1,SUP_8,West,39,370,14,379,0,13.95,20.48,0,0,36.58,798.72,544.05,254.67000000000007,0.31884765625000006,1,0.0,0.0,2.4200000000000017,2.4200000000000017
2024-04-28,SKU_1,WH_1,SUP_8,West,22,725,14,379,377,13.95,20.48,0,0,26.77,450.56,306.9,143.66000000000003,0.31884765625000006,0,0.0,0.0,-4.77,4.77
2024-04-29,SKU_1,WH_1,SUP_8,North,30,695,14,379,0,13.95,20.48,0,0,35.63,614.4,418.5,195.89999999999998,0.31884765625,0,0.0,0.0,-5.630000000000003,5.630000000000003
2024-04-30,SKU_1,WH_1,SUP_8,North,21,674,14,379,0,13.95,20.48,0,0,23.04,430.08,292.95,137.13,0.31884765625,0,0.0,0.0,-2.039999999999999,2.039999999999999
2024-05-01,SKU_1,WH_1,SUP_8,South,41,633,14,379,0,13.95,20.48,1,0,45.43,839.6800000000001,571.9499999999999,267.73000000000013,0.3188476562500001,0,0.0,0.0,-4.43,4.43
2024-05-02,SKU_1,WH_1,SUP_8,North,29,604,14,379,0,13.95,20.48,0,0,32.11,593.92,404.54999999999995,189.37,0.31884765625000006,0,0.0,0.0,-3.1099999999999994,3.1099999999999994
2024-05-03,SKU_1,WH_1,SUP_8,West,34,570,14,379,0,13.95,20.48,0,0,32.59,696.32,474.29999999999995,222.0200000000001,0.3188476562500001,0,0.0,0.0,1.4099999999999966,1.4099999999999966
2024-05-04,SKU_1,WH_1,SUP_8,North,45,525,14,379,0,13.95,20.48,1,0,42.97,921.6,627.75,293.85,0.31884765625,0,0.0,0.0,2.030000000000001,2.030000000000001
2024-05-05,SKU_1,WH_1,SUP_8,South,37,488,14,379,0,13.95,20.48,1,0,37.84,757.76,516.15,241.61,0.31884765625,0,0.0,0.0,-0.8400000000000034,0.8400000000000034
2024-05-06,SKU_1,WH_1,SUP_8,North,29,459,14,379,0,13.95,20.48,0,0,27.55,593.92,404.54999999999995,189.37,0.31884765625000006,0,0.0,0.0,1.4499999999999993,1.4499999999999993
2024-05-07,SKU_1,WH_1,SUP_8,North,36,423,14,379,0,13.95,20.48,1,0,36.14,737.28,502.2,235.07999999999998,0.31884765625,0,0.0,0.0,-0.14000000000000057,0.14000000000000057
2024-05-08,SKU_1,WH_1,SUP_8,North,24,399,14,379,0,13.95,20.48,0,0,28.07,491.52,334.79999999999995,156.72000000000003,0.31884765625000006,0,0.0,0.0,-4.07,4.07
2024-05-09,SKU_1,WH_1,SUP_8,North,21,378,14,379,0,13.95,20.48,0,0,22.61,430.08,292.95,137.13,0.31884765625,1,0.0,0.0,-1.6099999999999994,1.6099999999999994
2024-05-10,SKU_1,WH_1,SUP_8,East,27,668,14,379,317,13.95,20.48,0,0,25.72,552.96,376.65,176.31000000000006,0.3188476562500001,0,0.0,0.0,1.2800000000000011,1.2800000000000011
2024-05-11,SKU_1,WH_1,SUP_8,North,28,640,14,379,0,13.95,20.48,0,0,31.46,573.44,390.59999999999997,182.8400000000001,0.3188476562500001,0,0.0,0.0,-3.460000000000001,3.460000000000001
2024-05-12,SKU_1,WH_1,SUP_8,East,29,611,14,379,0,13.95,20.48,0,0,33.03,593.92,404.54999999999995,189.37,0.31884765625000006,0,0.0,0.0,-4.030000000000001,4.030000000000001
