date,year,quarter,month,day,month_name,day_of_week,day_name
2024-05-15,2024,2,5,15,May,3,Wednesday
2024-05-16,2024,2,5,16,May,4,Thursday
2024-05-17,2024,2,5,17,May,5,Friday
2024-05-18,2024,2,5,18,May,6,Saturday
2024-05-19,2024,2,5,19,May,7,Sunday
2024-05-20,2024,2,5,20,May,1,Monday
2024-05-21,2024,2,5,21,May,2,Tuesday
2024-05-22,2024,2,5,22,May,3,Wednesday
2024-05-23,2024,2,5,23,May,4,Thursday
2024-05-24,2024,2,5,24,May,5,Friday
2024-05-25,2024,2,5,25,May,6,Saturday
2024-05-26,2024,2,5,26,May,7,Sunday
2024-05-27,2024,2,5,27,May,1,Monday
2024-05-28,2024,2,5,28,May,2,Tuesday
2024-05-29,2024,2,5,29,May,3,Wednesday
2024-05-30,2024,2,5,30,May,4,Thursday
2024-05-31,2024,2,5,31,May,5,Friday
2024-06-01,2024,2,6,1,June,6,Saturday
2024-06-02,2024,2,6,2,June,7,Sunday
2024-06-03,2024,2,6,3,June,1,Monday
2024-06-04,2024,2,6,4,June,2,Tuesday
2024-06-05,2024,2,6,5,June,3,Wednesday
2024-06-06,2024,2,6,6,June,4,Thursday
2024-06-07,2024,2,6,7,June,5,Friday
2024-06-08,2024,2,6,8,June,6,Saturday
2024-06-09,2024,2,6,9,June,7,Sunday
2024-06-10,2024,2,6,10,June,1,Monday
2024-06-11,2024,2,6,11,June,2,Tuesday
2024-06-12,2024,2,6,12,June,3,Wednesday
2024-06-13,2024,2,6,13,June,4,Thursday
2024-06-14,2024,2,6,14,June,5,Friday
2024-06-15,2024,2,6,15,June,6,Saturday
2024-06-16,2024,2,6,16,June,7,Sunday
2024-06-17,2024,2,6,17,June,1,Monday
2024-06-18,2024,2,6,18,June,2,Tuesday
2024-06-19,2024,2,6,19,June,3,Wednesday
2024-06-20,2024,2,6,20,June,4,Thursday
2024-06-21,2024,2,6,21,June,5,Friday
2024-06-22,2024,2,6,22,June,6,Saturday
2024-06-23,2024,2,6,23,June,7,Sunday
2024-06-24,2024,2,6,24,June,1,Monday
2024-06-25,2024,2,6,25,June,2,Tuesday
2024-06-26,2024,2,6,26,June,3,Wednesday
2024-06-27,2024,2,6,27,June,4,Thursday
2024-06-28,2024,2,6,28,June,5,Friday
2024-06-29,2024,2,6,29,June,6,Saturday
2024-06-30,2024,2,6,30,June,7,Sunday
2024-07-01,2024,3,7,1,July,1,Monday
2024-07-02,2024,3,7,2,July,2,Tuesday
2024-07-03,2024,3,7,3,July,3,Wednesday
2024-07-04,2024,3,7,4,July,4,Thursday
2024-07-05,2024,3,7,5,July,5,Friday
2024-07-06,2024,3,7,6,July,6,Saturday
2024-07-07,2024,3,7,7,July,7,Sunday
2024-07-08,2024,3,7,8,July,1,Monday
2024-07-09,2024,3,7,9,July,2,Tuesday
2024-07-10,2024,3,7,10,July,3,Wednesday
2024-07-11,2024,3,7,11,July,4,Thursday
2024-07-12,2024,3,7,12,July,5,Friday
2024-07-13,2024,3,7,13,July,6,Saturday
2024-07-14,2024,3,7,14,July,7,Sunday
2024-07-15,2024,3,7,15,July,1,Monday
2024-07-16,2024,3,7,16,July,2,Tuesday
2024-07-17,2024,3,7,17,July,3,Wednesday
2024-07-18,2024,3,7,18,July,4,Thursday
2024-07-19,2024,3,7,19,July,5,Friday
2024-07-20,2024,3,7,20,July,6,Saturday
2024-07-21,2024,3,7,21,July,7,Sunday
2024-07-22,2024,3,7,22,July,1,Monday
2024-07-23,2024,3,7,23,July,2,Tuesday
2024-07-24,2024,3,7,24,July,3,Wednesday
2024-07-25,2024,3,7,25,July,4,Thursday
2024-07-26,2024,3,7,26,July,5,Friday
2024-07-27,2024,3,7,27,July,6,Saturday
2024-07-28,2024,3,7,28,July,7,Sunday
2024-07-29,2024,3,7,29,July,1,Monday
2024-07-30,2024,3,7,30,July,2,Tuesday
2024-07-31,2024,3,7,31,July,3,Wednesday
2024-08-01,2024,3,8,1,August,4,Thursday
2024-08-02,2024,3,8,2,August,5,Friday
2024-08-03,2024,3,8,3,August,6,Saturday
2024-08-04,2024,3,8,4,August,7,Sunday
2024-08-05,2024,3,8,5,August,1,Monday
2024-08-06,2024,3,8,6,August,2,Tuesday
2024-08-07,2024,3,8,7,August,3,Wednesday
2024-08-08,2024,3,8,8,August,4,Thursday
2024-08-09,2024,3,8,9,August,5,Friday
2024-08-10,2024,3,8,10,August,6,Saturday
2024-08-11,2024,3,8,11,August,7,Sunday
2024-08-12,2024,3,8,12,August,1,Monday
2024-08-13,2024,3,8,13,August,2,Tuesday
2024-08-14,2024,3,8,14,August,3,Wednesday
2024-08-15,2024,3,8,15,August,4,Thursday
2024-08-16,2024,3,8,16,August,5,Friday
2024-08-17,2024,3,8,17,August,6,Saturday
2024-08-18,2024,3,8,18,August,7,Sunday
2024-08-19,2024,3,8,19,August,1,Monday
2024-08-20,2024,3,8,20,August,2,Tuesday
2024-08-21,2024,3,8,21,August,3,Wednesday
2024-08-22,2024,3,8,22,August,4,Thursday
2024-08-23,2024,3,8,23,August,5,Friday
2024-08-24,2024,3,8,24,August,6,Saturday
2024-08-25,2024,3,8,25,August,7,Sunday
2024-08-26,2024,3,8,26,August,1,Monday
2024-08-27,2024,3,8,27,August,2,Tuesday
2024-08-28,2024,3,8,28,August,3,Wednesday
2024-08-29,2024,3,8,29,August,4,Thursday
2024-08-30,2024,3,8,30,August,5,Friday
2024-08-31,2024,3,8,31,August,6,Saturday
2024-09-01,2024,3,9,1,September,7,Sunday
2024-09-02,2024,3,9,2,September,1,Monday
2024-09-03,2024,3,9,3,September,2,Tuesday
2024-09-04,2024,3,9,4,September,3,Wednesday
2024-09-05,2024,3,9,5,September,4,Thursday
2024-09-06,2024,3,9,6,September,5,Friday
2024-09-07,2024,3,9,7,September,6,Saturday
2024-09-08,2024,3,9,8,September,7,Sunday
2024-09-09,2024,3,9,9,September,1,Monday
2024-09-10,2024,3,9,10,September,2,Tuesday
2024-09-11,2024,3,9,11,September,3,Wednesday
2024-09-12,2024,3,9,12,September,4,Thursday
2024-09-13,2024,3,9,13,September,5,Friday
2024-09-14,2024,3,9,14,September,6,Saturday
2024-09-15,2024,3,9,15,September,7,Sunday
2024-09-16,2024,3,9,16,September,1,Monday
2024-09-17,2024,3,9,17,September,2,Tuesday
2024-09-18,2024,3,9,18,September,3,Wednesday
2024-09-19,2024,3,9,19,September,4,Thursday
2024-09-20,2024,3,9,20,September,5,Friday
2024-09-21,2024,3,9,21,September,6,Saturday
2024-09-22,2024,3,9,22,September,7,Sunday
2024-09-23,2024,3,9,23,September,1,Monday
2024-09-24,2024,3,9,24,September,2,Tuesday
2024-09-25,2024,3,9,25,September,3,Wednesday
2024-09-26,2024,3,9,26,September,4,Thursday
2024-09-27,2024,3,9,27,September,5,Friday
2024-09-28,2024,3,9,28,September,6,Saturday
2024-09-29,2024,3,9,29,September,7,Sunday
2024-09-30,2024,3,9,30,September,1,Monday
2024-10-01,2024,4,10,1,October,2,Tuesday
2024-10-02,2024,4,10,2,October,3,Wednesday
2024-10-03,2024,4,10,3,October,4,Thursday
2024-10-04,2024,4,10,4,October,5,Friday
2024-10-05,2024,4,10,5,October,6,Saturday
2024-10-06,2024,4,10,6,October,7,Sunday
2024-10-07,2024,4,10,7,October,1,Monday
2024-10-08,2024,4,10,8,October,2,Tuesday
2024-10-09,2024,4,10,9,October,3,Wednesday
2024-10-10,2024,4,10,10,October,4,Thursday
2024-10-11,2024,4,10,11,October,5,Friday
2024-10-12,2024,4,10,12,October,6,Saturday
2024-10-13,2024,4,10,13,October,7,Sunday
2024-10-14,2024,4,10,14,October,1,Monday
2024-10-15,2024,4,10,15,October,2,Tuesday
2024-10-16,2024,4,10,16,October,3,Wednesday
2024-10-17,2024,4,10,17,October,4,Thursday
2024-10-18,2024,4,10,18,October,5,Friday
2024-10-19,2024,4,10,19,October,6,Saturday
2024-10-20,2024,4,10,20,October,7,Sunday
2024-10-21,2024,4,10,21,October,1,Monday
2024-10-22,2024,4,10,22,October,2,Tuesday
2024-10-23,2024,4,10,23,October,3,Wednesday
2024-10-24,2024,4,10,24,October,4,Thursday
2024-10-25,2024,4,10,25,October,5,Friday
2024-10-26,2024,4,10,26,October,6,Saturday
2024-10-27,2024,4,10,27,October,7,Sunday
2024-10-28,2024,4,10,28,October,1,Monday
2024-10-29,2024,4,10,29,October,2,Tuesday
2024-10-30,2024,4,10,30,October,3,Wednesday
2024-10-31,2024,4,10,31,October,4,Thursday
2024-11-01,2024,4,11,1,November,5,Friday
2024-11-02,2024,4,11,2,November,6,Saturday
2024-11-03,2024,4,11,3,November,7,Sunday
2024-11-04,2024,4,11,4,November,1,Monday
2024-11-05,2024,4,11,5,November,2,Tuesday
2024-11-06,2024,4,11,6,November,3,Wednesday
2024-11-07,2024,4,11,7,November,4,Thursday
2024-11-08,2024,4,11,8,November,5,Friday
2024-11-09,2024,4,11,9,November,6,Saturday
2024-11-10,2024,4,11,10,November,7,Sunday
2024-11-11,2024,4,11,11,November,1,Monday
2024-11-12,2024,4,11,12,November,2,Tuesday
2024-11-13,2024,4,11,13,November,3,Wednesday
2024-11-14,2024,4,11,14,November,4,Thursday
2024-11-15,2024,4,11,15,November,5,Friday
2024-11-16,2024,4,11,16,November,6,Saturday
2024-11-17,2024,4,11,17,November,7,Sunday
2024-11-18,2024,4,11,18,November,1,Monday
2024-11-19,2024,4,11,19,November,2,Tuesday
2024-11-20,2024,4,11,20,November,3,Wednesday
2024-11-21,2024,4,11,21,November,4,Thursday
2024-11-22,2024,4,11,22,November,5,Friday
2024-11-23,2024,4,11,23,November,6,Saturday
2024-11-24,2024,4,11,24,November,7,Sunday
2024-11-25,2024,4,11,25,November,1,Monday
2024-11-26,2024,4,11,26,November,2,Tuesday
2024-11-27,2024,4,11,27,November,3,Wednesday
2024-11-28,2024,4,11,28,November,4,Thursday
2024-11-29,2024,4,11,29,November,5,Friday
2024-11-30,2024,4,11,30,November,6,Saturday
2024-12-01,2024,4,12,1,December,7,Sunday
2024-12-02,2024,4,12,2,December,1,Monday
2024-12-03,2024,4,12,3,December,2,Tuesday
2024-12-04,2024,4,12,4,December,3,Wednesday
2024-12-05,2024,4,12,5,December,4,Thursday
2024-12-06,2024,4,12,6,December,5,Friday
2024-12-07,2024,4,12,7,December,6,Saturday
2024-12-08,2024,4,12,8,December,7,Sunday
2024-12-09,2024,4,12,9,December,1,Monday
2024-12-10,2024,4,12,10,December,2,Tuesday
2024-12-11,2024,4,12,11,December,3,Wednesday
2024-12-12,2024,4,12,12,December,4,Thursday
2024-12-13,2024,4,12,13,December,5,Friday
2024-12-14,2024,4,12,14,December,6,Saturday
2024-12-15,2024,4,12,15,December,7,Sunday
2024-12-16,2024,4,12,16,December,1,Monday
2024-12-17,2024,4,12,17,December,2,Tuesday
2024-12-18,2024,4,12,18,December,3,Wednesday
2024-12-19,2024,4,12,19,December,4,Thursday
2024-12-20,2024,4,12,20,December,5,Friday
2024-12-21,2024,4,12,21,December,6,Saturday
2024-12-22,2024,4,12,22,December,7,Sunday
2024-12-23,2024,4,12,23,December,1,Monday
2024-12-24,2024,4,12,24,December,2,Tuesday
2024-12-25,2024,4,12,25,December,3,Wednesday
2024-12-26,2024,4,12,26,December,4,Thursday
2024-12-27,2024,4,12,27,December,5,Friday
2024-12-28,2024,4,12,28,December,6,Saturday
2024-12-29,2024,4,12,29,December,7,Sunday
2024-12-30,2024,4,12,30,December,1,Monday
